Transaction_Type,Age,Income,Transaction_Amount,Transactions_24h,Account_Age_Years,Distance_From_Home_Km,Device_Risk_Score,International_Transaction,Is_Fraud
ATM,54.0,30506.71,1248.95,6.0,3.08,9.74,0.616,No,0
POS,40.0,54063.95,2706.57,6.0,1.97,3.87,0.196,No,0
Transfer,43.0,35658.18,4181.79,7.0,3.73,19.22,0.253,No,0
Online,44.0,29204.64,1918.21,3.0,5.49,33.09,0.449,No,0
POS,23.0,115940.29,102593.19,1.0,0.31,42.81,0.363,Yes,0
POS,25.0,72728.11,1127.76,4.0,5.08,15.38,0.212,Yes,0
POS,24.0,52570.44,,2.0,4.35,11.68,0.18,No,0
Transfer,21.0,,7836.47,5.0,8.11,27.39,0.496,No,0
Transfer,45.0,39126.78,,2.0,3.1,17.23,0.228,No,0
Transfer,39.0,90087.31,9429.84,5.0,8.57,21.12,0.354,Yes,0
Online,37.0,51656.83,3326.3,3.0,6.16,30.16,0.047,Yes,0
Online,18.0,15000.0,2580.3,0.0,4.9,18.09,0.141,No,0
POS,59.0,133765.04,1596.0,4.0,8.82,6.04,0.278,No,0
Online,26.0,48863.98,410.17,4.0,10.77,11.94,0.222,No,0
ATM,59.0,52519.19,651.41,3.0,4.37,12.45,0.098,No,0
POS,20.0,73381.74,2113.27,9.0,2.78,12.55,0.243,No,0
POS,27.0,55483.95,2243.42,8.0,6.29,3.2,0.218,Yes,0
ATM,18.0,62977.11,10262.68,2.0,0.73,65.84,0.344,No,0
ATM,40.0,37188.03,9310.01,2.0,1.1,8.04,0.069,Yes,0
Online,24.0,25874.41,1258.35,6.0,8.92,34.39,0.269,No,0
Online,24.0,51048.04,5666.75,4.0,6.72,10.5,0.264,No,0
POS,21.0,85703.11,1551.5,3.0,2.43,15.26,0.295,No,0
POS,45.0,33621.02,4947.62,,14.41,20.71,0.088,No,0
Online,44.0,32428.95,5597.44,8.0,0.85,13.1,0.065,No,0
POS,56.0,77954.18,8657.13,7.0,6.86,52.87,0.088,No,0
ATM,28.0,36631.27,1527.52,,2.61,127.52,0.296,No,0
ATM,38.0,37408.97,6893.61,7.0,10.34,3.62,0.012,Yes,0
POS,22.0,38044.16,384.23,6.0,3.41,41.0,0.196,No,0
,32.0,43703.19,9138.59,,4.15,23.2,0.335,Yes,0
Online,30.0,22165.24,2438.23,6.0,0.1,15.9,0.2,No,0
POS,41.0,35302.7,2490.7,7.0,11.25,36.48,0.12,No,0
Online,47.0,49915.33,325.91,1.0,3.15,43.54,0.174,No,0
POS,47.0,49755.43,1694.9,2.0,6.44,19.18,0.123,No,0
POS,27.0,75774.31,9696.55,3.0,5.01,48.66,0.107,No,0
Online,,102964.99,1631.65,7.0,3.35,2.76,0.303,No,0
Online,36.0,88879.37,5102.62,1.0,0.1,32.95,0.241,No,0
Online,32.0,67914.94,2587.9,5.0,4.32,21.16,0.286,No,1
Transfer,28.0,42086.71,7235.21,7.0,4.18,24.24,0.107,No,0
POS,30.0,33997.31,3027.67,3.0,5.96,40.4,0.028,No,0
Online,55.0,45363.5,984.6,7.0,11.44,30.6,0.22,No,1
Transfer,39.0,58567.09,2645.19,4.0,6.93,66.96,0.277,Yes,0
POS,38.0,65139.72,12397.66,3.0,7.58,74.53,0.264,No,0
POS,33.0,59563.98,4112.11,2.0,4.08,17.99,0.08,No,0
Transfer,63.0,42611.9,2225.19,10.0,1.06,7.06,0.088,No,0
Online,50.0,64119.63,23855.97,8.0,4.16,20.38,0.252,No,0
Online,28.0,79364.81,7968.58,4.0,2.8,9.71,0.263,No,0
POS,33.0,66868.95,5657.74,6.0,4.85,14.65,0.073,No,0
Online,34.0,44356.38,3433.68,4.0,3.52,22.65,0.125,No,0
POS,38.0,30920.85,5189.12,5.0,0.1,5.04,0.357,No,0
Online,,30592.57,5360.32,7.0,8.8,29.44,0.257,No,0
Online,41.0,33119.25,281.81,4.0,4.58,19.24,0.201,No,0
Online,52.0,50518.84,3710.72,5.0,4.01,11.32,0.177,No,0
POS,22.0,56858.98,2128.64,7.0,1.69,1.59,0.415,No,0
Online,24.0,23810.41,1516.67,3.0,3.57,39.51,0.558,No,0
,31.0,35868.69,2056.19,4.0,2.41,43.74,0.403,No,0
Transfer,31.0,50206.32,527.53,1.0,1.42,40.68,0.52,No,1
Online,58.0,30018.28,411.35,8.0,5.49,9.65,0.218,No,0
POS,47.0,54703.04,8695.39,1.0,3.59,27.55,0.167,No,0
Online,46.0,39186.01,3968.74,3.0,7.25,44.87,0.326,,0
POS,,32496.21,223.86,6.0,3.92,25.76,0.205,No,0
Online,33.0,,1404.82,7.0,5.34,24.15,0.336,No,0
POS,20.0,53687.95,6030.58,1.0,5.26,61.36,0.484,No,0
Online,45.0,30717.25,1889.43,4.0,6.15,58.52,0.106,,0
Transfer,41.0,,8682.38,3.0,2.48,14.65,0.593,No,0
Transfer,50.0,55540.79,7142.35,5.0,7.7,12.71,0.21,No,0
Online,34.0,31935.62,643.77,5.0,1.46,10.64,0.08,Yes,0
Online,,21341.89,2166.18,3.0,5.13,3.4,0.077,No,0
Online,38.0,22538.03,1597.12,4.0,1.39,52.76,0.139,No,0
POS,46.0,37283.08,623.16,6.0,4.64,25.48,0.161,No,0
Online,20.0,24862.84,583.92,6.0,7.67,14.89,0.127,No,0
Transfer,44.0,38481.89,1116.58,4.0,6.67,22.08,0.297,No,0
ATM,36.0,95191.13,1317.01,7.0,8.18,55.94,0.249,No,0
ATM,24.0,24198.56,3318.53,3.0,4.09,5.38,0.306,No,0
POS,18.0,39626.19,7102.91,3.0,7.73,51.55,0.345,No,0
Transfer,34.0,117471.95,4178.43,5.0,2.92,20.59,0.412,No,0
Online,52.0,54072.25,5294.47,6.0,3.62,28.89,0.233,No,0
POS,54.0,38137.08,1914.91,5.0,5.39,30.09,0.472,,0
Online,40.0,41932.67,4568.98,6.0,7.55,58.1,0.134,No,0
Transfer,58.0,54591.36,2155.27,3.0,3.36,10.18,0.328,No,0
POS,36.0,96520.93,1607.72,5.0,7.09,83.68,0.444,Yes,0
ATM,46.0,35437.78,16666.35,7.0,5.69,6.65,0.242,No,0
,31.0,32000.06,243.12,2.0,6.01,11.9,0.206,No,0
Transfer,30.0,24196.27,384.04,4.0,2.44,33.61,0.315,No,1
POS,29.0,47136.88,3665.59,3.0,3.85,53.51,0.322,No,0
POS,18.0,23905.37,94838.94,5.0,4.72,10.61,0.348,Yes,0
Transfer,50.0,36523.66,594.11,6.0,6.01,5.83,0.07,No,0
POS,29.0,29896.9,870.82,2.0,2.58,55.46,0.039,Yes,0
POS,27.0,72967.79,991.92,5.0,1.12,15.21,0.224,Yes,0
POS,23.0,35797.72,6102.07,5.0,0.1,16.1,0.482,No,0
Online,34.0,53800.41,8403.94,4.0,7.24,23.06,0.273,No,0
Online,55.0,21863.55,12882.29,7.0,7.83,19.8,0.316,Yes,0
,59.0,47743.39,510.32,4.0,0.1,34.37,0.208,No,0
Online,18.0,26186.4,637.1,3.0,5.23,6.98,0.137,No,0
Transfer,32.0,37155.83,594.92,2.0,3.87,5.12,0.127,No,0
POS,25.0,121717.6,9071.59,5.0,8.65,28.6,0.035,No,0
POS,47.0,68452.56,,1.0,4.37,29.78,0.029,No,0
POS,39.0,42473.35,2708.76,4.0,6.64,34.28,0.235,No,0
POS,29.0,189840.9,3145.33,4.0,3.72,32.96,0.114,No,0
POS,37.0,29809.7,2362.01,4.0,2.94,5.22,0.31,No,0
Transfer,31.0,76021.02,814.77,2.0,7.3,32.59,0.546,No,0
Transfer,54.0,,4176.46,6.0,8.24,31.6,0.039,No,0
POS,42.0,40322.0,2075.4,2.0,1.19,6.15,0.22,Yes,0
Online,43.0,24536.38,752.74,2.0,8.43,43.62,0.282,No,0
POS,18.0,50523.4,4439.65,5.0,2.08,10.31,0.191,Yes,0
POS,35.0,46147.79,1633.14,4.0,0.1,9.23,0.327,No,0
POS,59.0,39181.84,3138.59,2.0,5.03,34.89,0.347,Yes,0
POS,51.0,73559.03,2206.29,,6.52,7.59,0.089,No,0
POS,18.0,34864.46,6096.22,3.0,0.45,17.69,0.317,No,0
Online,33.0,52130.27,3115.7,5.0,0.1,15.6,0.286,No,0
Online,23.0,65099.2,1033.13,4.0,3.52,13.44,0.055,No,0
POS,55.0,23085.69,3449.72,2.0,3.11,11.03,0.085,No,0
Online,39.0,32132.76,3564.34,2.0,9.11,76.16,0.304,No,0
Online,28.0,46104.01,4168.78,6.0,5.04,33.46,0.235,No,0
ATM,36.0,59753.72,7043.92,7.0,7.2,12.18,0.042,No,0
POS,18.0,85303.84,1350.27,6.0,5.63,12.47,0.235,No,0
Online,24.0,40834.06,4875.52,1.0,9.71,26.64,0.433,No,0
POS,36.0,39026.88,445.51,3.0,2.32,15.53,0.378,No,0
ATM,45.0,30386.37,2217.33,6.0,4.74,27.88,0.036,Yes,0
Online,18.0,52203.8,1899.58,1.0,0.29,8.19,0.127,No,0
ATM,32.0,39368.25,10634.85,4.0,7.43,22.99,0.277,No,0
Transfer,47.0,39779.35,2138.18,4.0,8.34,36.44,0.183,No,0
POS,20.0,43138.36,4591.83,1.0,7.62,22.05,0.473,No,0
POS,39.0,57679.11,429.35,8.0,4.63,16.46,0.118,No,0
Online,37.0,34917.35,1758.63,3.0,0.53,29.97,0.155,Yes,0
Transfer,55.0,31791.26,1072.43,6.0,4.74,2.54,0.305,No,0
POS,33.0,54649.41,29719.45,,2.97,36.37,0.32,No,0
Transfer,34.0,15000.0,1283.38,6.0,7.77,3.07,0.836,No,0
POS,45.0,34295.27,2690.08,5.0,3.72,40.66,0.035,,0
Online,21.0,26804.59,2837.34,3.0,3.66,15.95,0.156,No,0
,34.0,77333.61,510.08,6.0,11.52,38.48,0.418,No,0
POS,31.0,36901.15,1477.36,2.0,7.4,44.62,0.354,Yes,0
POS,34.0,34964.74,3747.38,7.0,8.23,16.81,0.146,Yes,1
Online,45.0,44026.09,2723.76,4.0,3.46,42.32,0.174,Yes,0
ATM,42.0,34423.69,250.54,0.0,1.7,25.34,0.306,No,0
Transfer,28.0,37542.39,1418.07,8.0,8.2,29.81,0.121,,0
,38.0,47010.09,6938.69,2.0,9.48,49.38,0.353,No,0
POS,52.0,37216.21,4501.96,2.0,1.14,27.42,0.28,No,0
Online,27.0,37096.2,8451.33,2.0,3.45,38.55,0.396,No,0
ATM,38.0,28562.41,932.99,7.0,2.26,72.14,0.297,No,1
Online,34.0,26774.76,8999.96,6.0,6.44,38.32,0.275,No,0
Transfer,35.0,46244.8,2391.41,3.0,8.26,15.61,0.562,No,0
POS,18.0,51657.36,12286.65,5.0,3.9,25.95,0.096,No,0
POS,52.0,23664.88,2508.27,8.0,3.89,12.4,0.16,Yes,0
Online,27.0,63347.54,322.65,10.0,0.1,26.83,0.525,No,0
Online,47.0,63464.71,5844.76,5.0,2.14,17.35,0.25,Yes,0
ATM,29.0,,1604.44,4.0,9.52,28.8,0.043,,0
POS,29.0,51501.58,1716.11,6.0,6.48,38.89,0.193,No,0
POS,49.0,59940.32,584.61,5.0,7.78,12.03,0.309,No,0
Transfer,47.0,120292.24,12660.54,1.0,3.9,22.49,0.349,Yes,0
Transfer,38.0,39290.3,1484.67,10.0,4.18,9.56,0.266,No,0
Transfer,,28109.32,12077.29,6.0,5.06,12.57,0.414,,0
Online,33.0,22563.54,1624.25,5.0,5.97,25.18,0.069,No,0
POS,36.0,99158.12,988.61,2.0,9.13,16.35,0.286,No,0
Transfer,29.0,99744.98,9354.15,3.0,2.98,55.41,0.141,No,0
POS,46.0,29683.54,,7.0,4.59,4.32,0.275,Yes,0
Online,28.0,32439.22,2346.02,4.0,2.62,63.12,0.05,No,0
ATM,52.0,38895.03,693.96,5.0,0.1,38.37,0.203,No,0
POS,33.0,78067.83,1581.96,7.0,7.76,33.2,0.216,Yes,0
POS,36.0,25213.42,3838.13,6.0,10.24,36.67,0.032,Yes,0
Transfer,44.0,18572.53,681.89,4.0,7.3,36.14,0.066,No,0
POS,36.0,119348.05,1458.2,5.0,5.69,15.38,0.344,No,0
POS,33.0,51791.73,1641.88,3.0,10.56,39.76,0.323,No,0
,36.0,55210.24,2671.74,3.0,6.38,26.71,0.285,No,0
POS,,41032.51,10977.53,8.0,7.41,5.13,0.357,No,0
Online,29.0,55493.49,1852.13,6.0,5.42,12.74,0.349,No,0
ATM,,22766.04,1253.31,3.0,5.88,9.65,0.229,No,0
ATM,36.0,30822.6,38964.9,2.0,4.6,18.98,0.428,No,0
Online,46.0,47180.64,1621.1,4.0,7.5,3.12,0.169,No,0
Online,35.0,16195.96,2066.04,3.0,1.73,35.45,0.108,No,0
Transfer,56.0,39272.7,1747.95,,6.26,39.85,0.187,No,0
Online,34.0,38198.2,1895.57,1.0,2.44,15.01,0.219,No,0
POS,33.0,39269.65,2702.14,2.0,6.53,29.17,0.214,No,0
POS,34.0,35116.66,6278.22,7.0,12.18,56.83,0.269,No,0
POS,22.0,28746.36,3744.46,4.0,7.1,16.16,0.399,No,0
Online,25.0,19821.12,7340.35,5.0,8.52,16.17,0.174,No,0
POS,30.0,,7101.59,5.0,7.71,18.12,0.375,Yes,0
POS,48.0,39315.02,3079.73,4.0,0.1,33.48,0.168,No,0
POS,36.0,24234.71,3642.25,7.0,4.6,15.92,0.035,No,0
Online,31.0,46284.29,7576.32,1.0,6.34,18.37,0.275,No,0
POS,49.0,39406.66,822.9,4.0,0.1,32.63,0.245,No,0
POS,53.0,36569.03,30401.8,2.0,4.15,31.31,0.352,Yes,0
Online,50.0,17048.46,1497.36,1.0,4.76,14.38,0.432,No,0
Online,27.0,61185.36,1760.02,5.0,1.31,9.3,0.336,No,0
Online,31.0,25836.53,744.08,1.0,2.09,16.74,0.103,No,0
Online,56.0,46299.64,766.55,3.0,9.01,19.83,0.23,No,0
Online,39.0,31278.84,6621.52,3.0,0.1,25.49,0.425,No,0
Transfer,33.0,37778.33,24203.18,3.0,5.81,22.22,0.277,No,0
POS,44.0,75580.18,1417.72,6.0,8.49,7.45,0.279,No,0
ATM,47.0,57162.08,3538.16,6.0,4.92,15.62,0.518,Yes,0
Transfer,30.0,74827.13,3115.71,2.0,9.23,3.35,0.366,No,0
Online,38.0,52213.23,6797.37,3.0,3.72,25.4,0.335,No,0
POS,,53781.37,22988.76,3.0,2.28,8.9,0.292,No,1
Transfer,23.0,20189.24,11441.7,2.0,4.97,5.7,0.244,No,0
POS,36.0,39008.37,,4.0,3.86,17.35,0.263,No,0
POS,24.0,40668.49,4242.1,5.0,3.28,28.28,0.337,No,0
POS,25.0,78047.04,4684.92,3.0,4.46,21.79,0.156,No,0
Online,30.0,35832.64,2450.27,3.0,2.62,60.9,0.188,No,0
POS,41.0,,835.57,6.0,2.49,4.34,0.117,No,0
Transfer,32.0,49811.87,84947.03,2.0,1.63,4.1,0.289,Yes,0
Transfer,29.0,75763.47,7880.91,1.0,6.25,13.5,0.095,No,0
Online,37.0,42371.57,8737.28,1.0,2.0,38.71,0.142,No,0
ATM,23.0,65311.4,2031.4,7.0,1.27,14.47,0.251,No,0
Online,41.0,20894.23,3245.75,7.0,1.78,10.32,0.415,No,0
Transfer,,21766.1,8277.61,7.0,5.62,29.62,0.071,No,0
Online,35.0,16105.45,454.76,3.0,7.01,15.69,0.14,Yes,0
Transfer,34.0,64094.32,1599.9,11.0,7.25,48.51,0.02,,0
ATM,40.0,60935.3,18805.74,5.0,5.64,17.78,0.122,No,0
Online,18.0,67372.36,3372.31,3.0,6.61,39.14,0.097,No,0
Online,42.0,33176.76,808.22,9.0,4.84,18.92,0.345,No,0
ATM,70.0,34920.22,2811.09,5.0,6.37,28.4,0.1,,0
Online,35.0,42614.35,6942.95,7.0,6.32,43.15,0.112,No,1
POS,35.0,86170.44,195.88,6.0,2.81,4.07,0.187,No,0
Transfer,44.0,96436.54,2981.95,4.0,1.77,2.84,0.044,No,0
POS,54.0,64320.37,,3.0,9.06,4.62,0.327,No,0
POS,47.0,52228.14,483.98,5.0,5.38,9.31,0.34,No,0
POS,18.0,82071.0,2713.44,4.0,8.16,44.44,0.241,Yes,0
Online,42.0,40106.3,2181.06,5.0,1.7,66.48,0.489,No,0
Transfer,64.0,37740.69,2440.49,3.0,3.78,19.95,0.014,No,0
Online,43.0,,1764.79,,0.87,15.18,0.343,No,1
Online,23.0,28969.43,900.28,5.0,6.94,27.39,0.242,No,0
Online,39.0,41592.02,583.62,5.0,3.16,11.94,0.301,No,0
Transfer,22.0,27216.65,1253.08,3.0,3.34,26.29,0.099,No,0
Online,50.0,71372.74,5903.48,4.0,10.87,43.27,0.072,No,0
Transfer,25.0,57473.38,3156.18,4.0,7.0,27.57,0.517,,0
ATM,37.0,85624.0,2332.91,6.0,6.96,8.32,0.43,No,0
ATM,27.0,21617.11,883.84,2.0,1.39,19.43,0.309,No,0
Transfer,30.0,105892.68,1720.09,4.0,0.1,71.63,0.15,No,0
ATM,52.0,22176.84,5224.97,3.0,7.91,29.79,0.617,No,0
Transfer,37.0,26243.64,4141.57,4.0,0.1,14.14,0.405,No,0
Online,30.0,34031.71,1551.3,2.0,3.5,11.67,0.147,No,0
ATM,,81055.72,183.58,2.0,2.57,13.8,0.313,No,0
POS,18.0,49807.75,1273.09,4.0,2.22,36.1,0.398,No,0
POS,22.0,40323.7,1542.8,4.0,3.68,24.81,0.203,Yes,0
,37.0,31499.77,1009.23,4.0,1.83,9.05,0.404,No,0
Transfer,47.0,24227.58,1653.86,3.0,1.35,41.6,0.209,No,0
ATM,30.0,74914.3,5656.7,7.0,5.77,70.19,0.339,No,0
POS,53.0,64460.34,2408.48,6.0,8.2,25.74,0.272,No,0
POS,28.0,82703.77,6726.04,5.0,0.1,46.99,0.124,No,0
POS,33.0,53797.7,553.17,5.0,5.59,7.96,0.22,No,1
POS,24.0,15000.0,1842.69,2.0,6.62,18.45,0.193,No,0
,47.0,,359.61,3.0,6.34,7.15,0.531,Yes,0
Online,59.0,55470.68,1631.85,3.0,4.34,37.16,0.068,No,0
Online,18.0,38102.88,878.65,4.0,3.21,21.21,0.099,No,0
ATM,32.0,34994.24,9002.87,5.0,7.28,2.85,0.259,Yes,0
POS,50.0,27390.89,3765.96,4.0,6.01,8.09,0.062,No,0
Transfer,20.0,68929.06,6897.23,3.0,0.1,19.34,0.391,No,0
POS,42.0,55254.47,1627.33,4.0,4.34,4.7,0.188,Yes,0
Online,49.0,56384.74,901.74,2.0,5.17,8.56,0.202,No,0
Online,37.0,33836.55,873.48,4.0,1.72,44.48,0.115,No,0
Online,42.0,48715.24,3260.01,5.0,4.27,11.28,0.284,Yes,0
Transfer,55.0,24647.32,15278.59,7.0,6.47,25.5,0.362,No,0
Online,57.0,42446.31,3776.03,5.0,2.52,40.11,0.231,No,0
POS,35.0,15000.0,1718.62,7.0,5.7,35.25,0.157,No,0
Transfer,30.0,22220.39,2069.94,4.0,2.03,58.3,0.023,No,0
Transfer,26.0,,2422.96,2.0,1.29,42.25,0.243,No,0
Online,47.0,131035.16,18971.41,1.0,6.85,24.85,0.321,No,0
Online,21.0,20011.92,8583.99,2.0,8.52,5.37,0.127,No,0
Online,33.0,25714.4,3242.19,3.0,1.45,20.06,0.06,,0
Online,37.0,49610.93,2789.95,1.0,7.86,35.46,0.1,No,0
Online,30.0,99773.52,3372.47,4.0,4.96,9.89,0.24,No,0
POS,39.0,49286.0,4098.28,5.0,0.1,44.92,0.285,Yes,0
Transfer,64.0,61721.13,1653.83,5.0,0.7,21.25,0.378,No,0
POS,35.0,38657.5,1074.88,5.0,6.82,35.32,0.315,No,0
POS,31.0,35761.89,7018.23,9.0,0.13,35.16,0.558,Yes,1
Online,47.0,46695.39,2555.57,4.0,3.14,36.34,0.338,No,0
ATM,39.0,33462.73,6456.06,7.0,4.76,14.4,0.229,Yes,0
POS,52.0,62338.78,12967.54,6.0,6.34,58.83,0.102,No,0
Transfer,,21842.12,4207.65,5.0,5.55,50.78,0.113,Yes,0
Transfer,33.0,67165.29,3578.13,1.0,9.71,23.25,0.495,No,1
Online,18.0,45803.17,50000.0,3.0,2.55,7.62,0.35,No,0
Online,18.0,40855.36,3075.02,7.0,5.3,14.9,0.24,No,0
Online,18.0,21484.24,840.08,8.0,6.36,14.36,0.234,Yes,0
POS,40.0,28955.43,1887.15,5.0,7.14,5.01,0.25,No,0
Transfer,21.0,77173.46,11798.54,6.0,8.15,12.03,0.357,No,0
POS,50.0,40968.07,685.32,3.0,3.7,0.21,0.315,No,0
ATM,36.0,,1178.02,3.0,6.95,30.89,0.185,No,0
,33.0,30291.68,,5.0,2.22,18.52,0.238,No,0
Online,27.0,44415.47,1905.36,3.0,4.77,36.75,0.341,No,0
Online,43.0,24268.86,2239.03,7.0,6.5,16.55,0.165,No,0
POS,27.0,47068.76,7313.07,4.0,7.93,4.7,0.262,No,0
POS,25.0,53167.69,,2.0,6.71,7.31,0.181,No,0
POS,49.0,51984.16,575.62,4.0,5.27,20.52,0.131,No,0
Online,40.0,29965.58,623.38,6.0,4.76,20.38,0.358,No,0
ATM,33.0,38580.21,4473.05,6.0,6.65,11.97,0.28,No,0
Online,43.0,57305.69,3239.51,1.0,11.57,11.55,0.119,No,0
Transfer,36.0,,1250.73,1.0,7.56,38.07,0.244,No,0
Online,40.0,39542.46,784.66,,6.14,3.29,0.085,No,0
Online,27.0,105977.09,1907.36,5.0,0.89,26.89,0.192,No,0
POS,59.0,29333.12,7635.5,3.0,2.47,16.93,0.753,No,0
POS,30.0,73174.78,1083.8,,4.03,37.99,0.307,No,0
POS,53.0,,1288.66,4.0,7.73,74.21,0.314,No,0
POS,34.0,60419.63,760.16,5.0,2.19,6.39,0.42,No,0
Transfer,45.0,,1731.31,6.0,6.93,33.57,0.181,No,0
POS,44.0,35766.02,,5.0,5.36,32.4,0.211,No,0
POS,49.0,26018.24,20727.47,2.0,6.06,10.4,0.344,No,0
POS,27.0,18540.69,,0.0,4.35,14.02,0.179,No,0
Online,48.0,34119.24,2369.34,7.0,3.21,17.96,0.039,No,0
POS,,57023.35,5925.28,2.0,2.08,31.44,0.099,No,0
Online,33.0,27708.24,5015.37,8.0,6.83,22.49,0.313,No,0
,36.0,47006.66,1403.02,4.0,4.77,52.49,0.235,No,0
Online,30.0,23156.35,24986.88,9.0,1.77,9.53,0.145,No,0
Transfer,32.0,40504.49,2439.78,2.0,5.67,20.05,0.376,No,0
POS,55.0,26856.09,3166.62,2.0,15.27,26.15,0.316,No,0
Transfer,25.0,43448.28,4338.98,4.0,4.4,16.13,0.232,No,0
POS,26.0,35915.78,3533.06,5.0,9.96,8.27,0.262,Yes,0
Online,54.0,26337.6,11492.43,2.0,0.1,45.63,0.216,Yes,0
ATM,,33453.94,1385.94,5.0,4.19,25.36,0.423,No,0
POS,59.0,29556.15,5472.16,3.0,7.86,3.29,0.142,No,0
ATM,31.0,,2947.21,4.0,5.05,12.5,0.401,Yes,0
POS,37.0,73251.45,6679.3,3.0,3.07,10.03,0.548,No,0
POS,29.0,38266.84,2016.38,5.0,4.92,61.1,0.332,No,0
Transfer,38.0,16704.21,1760.99,4.0,7.96,17.19,0.497,No,0
POS,18.0,33994.07,5198.47,4.0,11.43,53.99,0.125,No,0
Online,44.0,67916.75,3576.14,5.0,8.2,29.44,0.341,No,0
POS,40.0,31946.13,1100.76,4.0,3.49,28.24,0.156,No,0
POS,35.0,88291.8,9601.34,1.0,4.3,12.11,0.223,No,0
Transfer,32.0,30605.04,5200.74,5.0,4.32,17.01,0.062,Yes,1
POS,26.0,,2321.21,4.0,2.4,6.13,0.06,No,0
POS,44.0,71747.27,1565.27,3.0,4.53,41.45,0.244,No,0
ATM,23.0,55105.51,3598.16,2.0,4.18,41.73,0.399,No,0
POS,42.0,24243.3,,3.0,1.4,28.25,0.094,No,0
ATM,59.0,29445.81,507.74,1.0,7.51,22.39,0.102,No,0
POS,52.0,76187.27,3639.96,5.0,6.26,18.95,0.141,No,0
Online,19.0,31330.35,4801.1,5.0,3.08,60.81,0.041,No,0
ATM,30.0,69805.79,,2.0,5.44,46.16,0.118,No,0
,41.0,37078.39,3041.89,4.0,2.11,25.46,0.165,No,0
Online,35.0,47957.22,5007.32,1.0,3.34,14.24,0.113,Yes,0
POS,21.0,24116.93,4469.02,2.0,7.06,13.1,0.163,No,0
ATM,40.0,34224.51,5577.49,3.0,6.41,57.61,0.07,No,0
Transfer,36.0,30349.34,1801.69,6.0,3.46,10.83,0.379,No,0
Online,57.0,49808.33,883.72,10.0,5.93,20.02,0.045,Yes,0
Online,33.0,46927.38,413.35,3.0,4.78,32.24,0.45,No,0
Transfer,49.0,55415.26,7452.23,2.0,2.01,39.2,0.183,No,0
Online,22.0,36086.81,5049.84,8.0,4.5,27.06,0.274,Yes,1
Online,25.0,29608.43,8042.82,5.0,6.3,22.98,0.074,No,0
Online,44.0,48856.65,1210.64,4.0,5.92,21.9,0.281,Yes,0
POS,48.0,28313.75,5585.24,3.0,0.1,18.15,0.181,Yes,0
Transfer,25.0,73109.08,556.33,3.0,5.5,8.34,0.074,No,0
ATM,36.0,42739.67,1047.91,4.0,5.08,35.91,0.426,No,0
ATM,21.0,38857.52,2835.64,3.0,0.1,14.51,0.239,Yes,0
Online,34.0,,4852.52,4.0,2.58,6.96,0.096,No,0
POS,45.0,43479.89,13400.65,6.0,6.47,9.12,0.189,No,0
POS,31.0,21339.06,1966.44,3.0,9.15,25.26,0.096,No,0
Online,33.0,27910.95,1051.84,3.0,0.1,34.61,0.185,No,0
Online,24.0,72430.78,999.14,3.0,7.94,24.6,0.094,No,0
Online,29.0,46731.13,1256.64,2.0,0.1,19.5,0.347,No,0
Online,55.0,21114.44,23041.97,9.0,9.19,20.84,0.36,No,0
POS,37.0,52726.22,5329.0,,4.28,11.14,0.314,No,0
ATM,25.0,34987.68,7605.13,8.0,2.86,42.25,0.248,No,0
Online,33.0,30360.35,1968.57,5.0,6.06,9.27,0.128,No,0
POS,18.0,26882.35,2495.88,4.0,2.11,27.61,0.361,No,0
ATM,25.0,,5030.68,6.0,6.55,40.28,0.489,No,0
ATM,51.0,18581.9,1507.56,2.0,4.63,25.9,0.314,No,0
ATM,34.0,30869.64,1868.21,4.0,0.1,32.84,0.259,No,0
POS,57.0,47499.52,1273.27,2.0,2.57,12.03,0.292,No,0
ATM,35.0,91553.72,1598.07,2.0,5.57,26.95,0.393,No,0
,36.0,57737.03,2625.49,,8.2,38.62,0.232,No,0
POS,43.0,30751.89,1099.2,6.0,5.99,36.09,0.01,No,0
Online,18.0,89556.66,3327.66,5.0,8.15,38.93,0.427,No,0
POS,38.0,24455.54,3323.01,3.0,2.32,17.25,0.267,No,0
POS,35.0,50706.99,2089.75,2.0,7.18,43.82,0.21,No,0
Online,52.0,56045.6,,5.0,7.23,23.81,0.308,No,0
ATM,47.0,30270.1,2776.67,3.0,0.11,16.53,0.171,No,0
Online,24.0,61594.92,1508.91,4.0,8.3,58.25,0.143,No,0
Online,50.0,35709.33,2619.24,4.0,5.98,3.42,0.33,Yes,0
Online,33.0,61527.03,7496.36,3.0,4.16,22.5,0.258,Yes,0
POS,26.0,19665.08,714.16,2.0,4.1,12.64,0.193,No,0
Online,38.0,52321.2,21972.18,2.0,1.89,35.94,0.188,No,0
POS,34.0,37382.94,2325.11,1.0,6.89,11.81,0.091,Yes,0
,53.0,75492.19,3773.98,4.0,5.91,5.14,0.243,No,0
ATM,40.0,44118.15,1177.67,4.0,6.75,15.65,0.287,No,1
Transfer,38.0,78950.08,7834.23,6.0,5.24,16.99,0.201,No,0
POS,46.0,56547.91,2204.86,5.0,5.62,13.74,0.071,Yes,0
POS,48.0,42490.63,1685.69,3.0,4.11,7.11,0.374,No,0
Transfer,45.0,64142.92,1406.04,7.0,8.23,19.36,0.09,No,0
Transfer,52.0,64327.6,1911.33,5.0,6.82,4.12,0.433,No,0
